Entry,Function [CC],Keywords,Gene Ontology (GO),Gene Names,Organism,Protein names,Binding site,Pathway,Activity regulation
A0A8C2XCY3,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; histamine receptor activity [GO:0004969]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Cyclopterus lumpus (Lumpsucker),Histamine H2 receptor (Gastric receptor I),,,
A0A914AYF2,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Patiria miniata (Bat star) (Asterina miniata),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A6P3VP61,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb3a,Clupea harengus (Atlantic herring),Adrenoceptor beta 3a,,,
W5NMY2,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; trace-amine receptor activity [GO:0001594]; G protein-coupled receptor signaling pathway [GO:0007186],,Lepisosteus oculatus (Spotted gar),Trace amine associated receptor 12f,,,
A0A7L1G5G4,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; epinephrine binding [GO:0051379],Adra2db INDMAC_R06855,Indicator maculatus (spotted honeyguide),Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor),,,
A0A4W3H8P6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Callorhinchus milii (Ghost shark),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A6P8RLY7,,Cell membrane;Cytoplasm;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Nucleus;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,caveola [GO:0005901]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410]; regulation of cardiac muscle contraction [GO:0055117]; regulation of vasoconstriction [GO:0019229],ADRA1A,Geotrypetes seraphini (Gaboon caecilian) (Caecilia seraphini),Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1C adrenergic receptor),,,
A0A9C6UAB5,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],LOC113203804,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),Dopamine receptor 2-like isoform X1,,,
A0A498L822,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],ROHU_013031,Labeo rohita (Indian major carp) (Cyprinus rohita),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A668AFB1,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],ADRB2,Myripristis murdjan (pinecone soldierfish),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A973YK51,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,neuron projection [GO:0043005]; plasma membrane [GO:0005886]; neuropeptide binding [GO:0042923]; somatostatin receptor activity [GO:0004994]; cellular response to glucocorticoid stimulus [GO:0071385]; regulation of insulin secretion [GO:0050796],Sstr5 RHEHOF_R09915,Rhegmatorhina hoffmannsi (white-breasted antbird),SSR5 protein,,,
E9FX33,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; adrenergic receptor activity [GO:0004935]; neurotransmitter receptor activity [GO:0030594]; octopamine receptor activity [GO:0004989]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",DAPPUDRAFT_42083,Daphnia pulex (Water flea),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A6P6Q9G6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],LOC113110293,Carassius auratus (Goldfish),Beta-2 adrenergic receptor-like,,,
A0A6J2W3F3,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; trace-amine receptor activity [GO:0001594],LOC115819344,Chanos chanos (Milkfish) (Mugil chanos),Trace amine-associated receptor 1-like,,,
A0A485NUX4,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis. {ECO:0000256|ARBA:ARBA00003285}.,Aminotransferase;Cytoplasm;G-protein coupled receptor;Membrane;Pyridoxal phosphate;Receptor;Reference proteome;Transducer;Transferase;Transmembrane;Transmembrane helix,cytosol [GO:0005829]; membrane [GO:0016020]; beta-adrenergic receptor activity [GO:0004939]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; aspartate biosynthetic process [GO:0006532],LYPA_23C018268,Lynx pardinus (Iberian lynx) (Felis pardina),"Beta-3 adrenergic receptor (EC 2.6.1.1) (Beta-3 adrenoreceptor) (Glutamate oxaloacetate transaminase 1-like protein 1) (Putative aspartate aminotransferase, cytoplasmic 2) (Transaminase A-like protein 1)",,,
A0A4W5N3V0,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Hucho hucho (huchen),Adrenoceptor beta 3b,,,
A0A8B7YTA3,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],LOC110982441,Acanthaster planci (Crown-of-thorns starfish),Alpha-1A adrenergic receptor-like,,,
H3DFE9,,Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8D0GII9,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"early endosome [GO:0005769]; neuronal dense core vesicle [GO:0098992]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]; alpha-2A adrenergic receptor binding [GO:0031694]; beta1-adrenergic receptor activity [GO:0004940]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; PDZ domain binding [GO:0030165]; protein heterodimerization activity [GO:0046982]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; brown fat cell differentiation [GO:0050873]; diet induced thermogenesis [GO:0002024]; fear response [GO:0042596]; heat generation [GO:0031649]; negative regulation of multicellular organism growth [GO:0040015]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of heart rate by epinephrine-norepinephrine [GO:0001996]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of the force of heart contraction by epinephrine-norepinephrine [GO:0001997]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; response to cold [GO:0009409]",ADRB1,Sphenodon punctatus (Tuatara) (Hatteria punctata),Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A6J2R3V2,,Cell membrane;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],LOC115018963,Cottoperca gobio (Frogmouth) (Aphritis gobio),LOW QUALITY PROTEIN: alpha-1A adrenergic receptor-like,,,
A0A3S3Q0B7,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989],B4U79_10189,Dinothrombium tinctorium,G-protein coupled receptor-like protein,,,
A0A7J6CCK9,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],G5714_014155,Onychostoma macrolepis,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A7K9BC15,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],Adrb4c DRONOV_R04936,Dromaius novaehollandiae (Emu),ADB4C protein,,,
A0A3Q3FCG4,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Labrus bergylta (ballan wrasse),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8C4RHG9,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; trace-amine receptor activity [GO:0001594],LOC114647567,Erpetoichthys calabaricus (Rope fish) (Calamoichthys calabaricus),Trace amine-associated receptor 1-like,,,
